Item,Cent
person,7
bicycle,19
car,15
motorcycle,19
airplane,20
bus,19
train,14
truck,13
boat,12
traffic light,20
fire hydrant,20
stop sign,20
parking meter,20
bench,12
bird,12
cat,12
dog,12
horse,12
sheep,12
cow,12
elephant,14
bear,12
zebra,16
giraffe,17
backpack,19
umbrella,17
handbag,19
tie,16
suitcase,19
frisbee,20
skis,18
snowboard,20
sports ball,20
kite,13
baseball bat,20
baseball glove,20
skateboard,20
surfboard,19
tennis racket,20
bottle,14
wine glass,17
cup,12
fork,12
knife,12
spoon,14
bowl,12
banana,16
apple,12
sandwich,18
orange,16
broccoli,17
carrot,16
hot dog,19
pizza,19
doughnut,18
cake,13
chair,13
couch,14
pot plant,20
bed,12
dining table,20
toilet,17
tv,20
laptop,20
mouse,12
remote,15
keyboard,18
cell phone,20
microwave,20
oven,12
toaster,16
sink,12
refrigerator,17
book,12
clock,14
vase,17
scissors,15
teddy bear,20
hair drier,20
toothbrush,17
