,Item,Cent
0,crucifixion,15
1,angel,12
2,person,13
3,crown of thorns,20
4,horse,12
5,dragon,13
6,bird,12
7,dog,12
8,boat,12
9,cat,12
10,book,12
11,sheep,12
12,shepherd,12
13,elephant,14
14,zebra,16
15,crown,15
16,tiara,17
17,camauro,20
18,zucchetto,19
19,mitre,14
20,saturno,20
21,skull,13
22,orange,16
23,apple,12
24,banana,16
25,nude,15
26,monk,12
27,lance,14
28,key of heaven,20
29,banner,13
30,chalice,14
31,palm,12
32,sword,12
33,rooster,18
34,knight,15
35,scroll,15
36,lily,12
37,horn,12
38,prayer,14
39,tree,12
